network,show,rating,75.9
crunchyroll,steins gate,94.5,9535.3
Netflix,my hero acadamia,91.0,9440.8
Netflix,scissor seven,91.0,9349.8
Netflix,naruto,91.0,9258.8
Netflix,brooklyn 9 9,91.0,9167.8
Netflix,sanctuary,90.5,9076.8
crunchyroll,takopi's original sin,90.3,8986.3
Netflix,black mirror,90.3,8896.0
Netflix,the summer hikaru,90.0,8805.8
Netflix,carole and Tuesday,90.0,8715.8
Netflix,beef,89.7,8625.8
crunchyroll,kaiju no 9,89.5,8536.1
Netflix,top boy,89.3,8446.6
Netflix,north of north,89.0,8357.3
Netflix,dune: part 2,88.5,8268.3
Netflix,the rose of versaille,88.5,8179.8
Netflix,she-ra,88.5,8091.3
Netflix,dragon ball z daima,88.3,8002.8
Netflix,mononoke,88.0,7914.6
crunchyroll,sword of the stranger,88.0,7826.6
Netflix,narcos,87.8,7738.6
Netflix,this world cant tear me down,87.8,7650.8
Netflix,love and anarchy,87.7,7563.1
Netflix,zon 100,87.5,7475.4
Netflix,last samurai standing,87.3,7387.9
Netflix,adolescence,87.3,7300.6
Netflix,fifa uncovered,87.3,7213.3
Netflix,the holdovers,87.0,7125.9
crunchyroll,space dandy,87.0,7038.9
Netflix,kill bill vol 12,86.8,6951.9
Netflix,RRR,86.8,6865.2
Netflix,oppenheimer,86.7,6778.4
Netflix,society of the snow,86.5,6691.8
Netflix,kangaroo valley,86.5,6605.3
Netflix,one hundred years of solitude,86.3,6518.8
Netflix,paranormal,86.3,6432.4
Netflix,Digital Circus,86.0,6346.1
Netflix,shameless,86.0,6260.1
Netflix,glow,86.0,6174.1
Netflix,godzilla minus 1,86.0,6088.1
Netflix,yintah,86.0,6002.1
crunchyroll,mushi shi,85.7,5916.1
crunchyroll,lord of mysteries,85.3,5830.4
Netflix,best of miniature,85.0,5745.1
Netflix,wakfu,85.0,5660.1
Netflix,special,85.0,5575.1
Netflix,ponyo,84.8,5490.1
crunchyroll,campfire cooking in another world,84.8,5405.3
Netflix,the fall of the house of usher,84.7,5320.6
Netflix,ranma 1/2,84.5,5235.9
Netflix,the eternaut,84.5,5151.4
Netflix,sailor moon cosmos,84.5,5066.9
Netflix,devil may cry,84.3,4982.4
Netflix,boy swallows universe,84.3,4898.1
Netflix,pokemon indigo league,84.0,4813.8
Netflix,the mask,83.8,4729.8
Netflix,all quiet on the western front,83.8,4646.0
Netflix,travellers,83.8,4562.3
Netflix,trese,83.7,4478.5
Netflix,the pharmacist,83.7,4394.8
Netflix,lucifer,83.5,4311.2
Netflix,centaurworld,83.5,4227.7
Netflix,thermae romae novae,83.3,4144.2
crunchyroll,tower of god,83.3,4060.8
Netflix,arrested development,83.0,3977.5
Netflix,ripley,83.0,3894.5
Netflix,ladybug cat noir,83.0,3811.5
Netflix,castlevania nocturne,82.7,3728.5
crunchyroll,yakitate japan,82.3,3645.8
Netflix,cells at work,82.0,3563.6
Netflix,archive 81,82.0,3481.6
Netflix,going varsity in mariachi,81.7,3399.6
crunchyroll,nyanpire,81.7,3317.9
Netflix,join or die,81.5,3236.3
Netflix,gundam seed,81.3,3154.8
Netflix,the gentlemen,81.3,3073.4
Netflix,winter on fire,81.0,2992.1
Netflix,castlevania,80.8,2911.1
Netflix,icarus,80.8,2830.3
Netflix,orb on the movements of the earth,80.5,2749.6
Netflix,scottt pilgrim,80.5,2669.1
Netflix,dota,80.5,2588.6
Netflix,black doves,80.3,2508.1
Netflix,hellbound,80.3,2427.8
Netflix,the pig the snake the pigeon,80.3,2347.4
Netflix,pearl,80.3,2267.1
crunchyroll,blade runner black out,80.3,2186.8
Netflix,the night agent,80.0,2106.6
Netflix,living with leopards,80.0,2026.6
Netflix,house of guiness,79.7,1946.6
